home_adv,k_scale,half_life,train_ll,test_ll,test_rps,test_acc
45,0.85,600,0.9597211392564711,1.012490418242158,0.2127376487790319,0.5546875
45,0.85,900,0.9593059200424964,1.01241127559348,0.21272807741365704,0.5546875
45,0.85,1400,0.9588942093172199,1.0122326846891723,0.2126983432500602,0.5546875
45,1.0,600,0.9553605539919734,1.0160196769024652,0.21381124961290288,0.5390625
45,1.0,900,0.9549828282749289,1.0159912042545383,0.21380200884316736,0.5390625
45,1.0,1400,0.954609891076984,1.0158637613293178,0.21378233079048956,0.5390625
45,1.2,600,0.9509860828004915,1.0205822589620122,0.2152810237022852,0.53125
45,1.2,900,0.9506714982155153,1.0206174823439214,0.21528007149133188,0.53125
45,1.2,1400,0.9503573919056509,1.0205474425339291,0.21526652713696026,0.53125
65,0.85,600,0.959546810488781,1.0145945712521587,0.21327733745197935,0.5546875
65,0.85,900,0.9591331751954479,1.0144917014573949,0.2132590915698631,0.5546875
65,0.85,1400,0.9587219396584852,1.0143022733695264,0.21323393570351462,0.5546875
65,1.0,600,0.9553312931024692,1.0182214411614092,0.21436365235083568,0.546875
65,1.0,900,0.9549554625692354,1.0181750644228802,0.2143514468709193,0.546875
65,1.0,1400,0.9545838069284591,1.0180306326510304,0.21432988346394638,0.546875
65,1.2,600,0.9510977540520957,1.0228315779905404,0.2158301107199016,0.53125
65,1.2,900,0.9507852773289269,1.0228501377662729,0.21582591269443774,0.53125
65,1.2,1400,0.9504724556894563,1.0227635108654278,0.21581011027814873,0.53125
85,0.85,600,0.9596941326086975,1.016694427797849,0.21382928422040592,0.5546875
85,0.85,900,0.95928220202431,1.0165696500935648,0.2138081787205374,0.5546875
85,0.85,1400,0.9588719642982783,1.0163608287540722,0.2137812173395855,0.5546875
85,1.0,600,0.9556159755853908,1.0204223986901844,0.21492753230315173,0.5546875
85,1.0,900,0.9552420435795469,1.0203538688019544,0.21491204756096038,0.5546875
85,1.0,1400,0.9548712344955741,1.0201882031556302,0.21488823096388537,0.5546875
85,1.2,600,0.9515125759627803,1.0250831017247013,0.2163890804861451,0.5234375
85,1.2,900,0.9512014856203972,1.0250817688902547,0.2163813950943799,0.5234375
85,1.2,1400,0.9508884155793289,1.0249736482266458,0.2163628679813616,0.5234375
110,0.85,600,0.9603006596997274,1.019247237556581,0.21451977262710004,0.5546875
110,0.85,900,0.9598917171415193,1.0190900872238422,0.21449475710617483,0.5546875
110,0.85,1400,0.9594838731897781,1.0188511140808871,0.2144651588113819,0.5546875
110,1.0,600,0.9563841214052424,1.0231084601492562,0.21563284440922165,0.5546875
110,1.0,900,0.9560121168137428,1.0230076120832836,0.21561293367787548,0.5546875
110,1.0,1400,0.9556418984913222,1.0228094135293002,0.2155857659446066,0.5546875
110,1.2,600,0.952427244148253,1.027841141004974,0.21708758927256624,0.5234375
110,1.2,900,0.9521170573134372,1.0278087352267011,0.2170750462404293,0.5234375
110,1.2,1400,0.9518030085852425,1.0276682003461168,0.21705264357560633,0.5234375
