year,home,away,p_home,p_draw,p_away,outcome,pred,stage
2006,Spain,Tunisia,0.637,0.226,0.137,0,0,Gironi
2006,Togo,Switzerland,0.136,0.225,0.64,2,2,Gironi
2006,Saudi Arabia,Ukraine,0.254,0.28,0.466,2,2,Gironi
2006,Costa Rica,Poland,0.273,0.284,0.443,2,2,Gironi
2006,Germany,Ecuador,0.506,0.271,0.223,0,0,Gironi
2006,Paraguay,Trinidad and Tobago,0.462,0.281,0.257,0,0,Gironi
2006,Sweden,England,0.214,0.268,0.518,1,2,Gironi
2006,Iran,Angola,0.528,0.265,0.207,1,0,Gironi
2006,Ivory Coast,Serbia,0.406,0.289,0.305,0,0,Gironi
2006,Netherlands,Argentina,0.397,0.29,0.313,1,0,Gironi
2006,Portugal,Mexico,0.431,0.286,0.283,0,0,Gironi
2006,Croatia,Australia,0.258,0.281,0.462,1,2,Gironi
2006,Czech Republic,Italy,0.33,0.291,0.38,2,2,Gironi
2006,Ghana,United States,0.252,0.279,0.469,0,2,Gironi
2006,Japan,Brazil,0.1,0.195,0.705,2,2,Gironi
2006,Ukraine,Tunisia,0.415,0.288,0.297,0,0,Gironi
2006,Togo,France,0.053,0.136,0.811,2,2,Gironi
2006,Saudi Arabia,Spain,0.05,0.131,0.819,2,2,Gironi
2006,Switzerland,South Korea,0.369,0.291,0.34,0,0,Gironi
2006,Argentina,Mexico,0.49,0.275,0.235,0,0,Ottavi
2006,Germany,Sweden,0.474,0.278,0.247,0,0,Ottavi
2006,England,Ecuador,0.593,0.244,0.164,0,0,Ottavi
2006,Portugal,Netherlands,0.325,0.291,0.384,0,2,Ottavi
2006,Italy,Australia,0.465,0.28,0.255,0,0,Ottavi
2006,Switzerland,Ukraine,0.416,0.288,0.296,1,0,Ottavi
2006,Brazil,Ghana,0.725,0.184,0.09,0,0,Ottavi
2006,Spain,France,0.431,0.286,0.283,2,0,Ottavi
2006,Italy,Ukraine,0.586,0.246,0.168,0,0,Quarti
2006,Germany,Argentina,0.344,0.291,0.364,1,2,Quarti
2006,Brazil,France,0.485,0.276,0.239,2,0,Quarti
2006,England,Portugal,0.328,0.291,0.381,1,2,Quarti
2006,Germany,Italy,0.305,0.289,0.406,2,2,Semifinali
2006,Portugal,France,0.325,0.291,0.384,2,2,Semifinali
2006,Germany,Portugal,0.299,0.288,0.412,0,2,Finale
2006,Italy,France,0.367,0.291,0.341,1,0,Finale
2010,South Africa,Mexico,0.136,0.221,0.643,1,2,Gironi
2010,Uruguay,France,0.334,0.288,0.379,1,2,Gironi
2010,England,United States,0.561,0.252,0.187,1,0,Gironi
2010,South Korea,Greece,0.467,0.277,0.256,0,0,Gironi
2010,Argentina,Nigeria,0.479,0.274,0.247,0,0,Gironi
2010,Serbia,Ghana,0.475,0.275,0.25,2,0,Gironi
2010,Algeria,Slovenia,0.281,0.282,0.437,2,2,Gironi
2010,Germany,Australia,0.492,0.271,0.237,0,0,Gironi
2010,Japan,Cameroon,0.355,0.288,0.357,0,2,Gironi
2010,Netherlands,Denmark,0.672,0.208,0.12,0,0,Gironi
2010,Italy,Paraguay,0.547,0.257,0.197,1,0,Gironi
2010,Brazil,North Korea,0.874,0.095,0.031,0,0,Gironi
2010,Ivory Coast,Portugal,0.278,0.281,0.44,1,2,Gironi
2010,New Zealand,Slovakia,0.337,0.288,0.375,1,2,Gironi
2010,Spain,Switzerland,0.754,0.167,0.079,2,0,Gironi
2010,Honduras,Chile,0.221,0.266,0.513,2,2,Gironi
2010,South Africa,Uruguay,0.199,0.258,0.543,2,2,Gironi
2010,Argentina,South Korea,0.425,0.284,0.292,0,0,Gironi
2010,France,Mexico,0.313,0.286,0.401,2,2,Gironi
2010,Greece,Nigeria,0.278,0.281,0.441,0,2,Gironi
2010,Germany,Serbia,0.585,0.244,0.171,2,0,Gironi
2010,England,Algeria,0.8,0.141,0.059,1,0,Gironi
2010,Slovenia,United States,0.226,0.268,0.507,1,2,Gironi
2010,Cameroon,Denmark,0.329,0.287,0.383,2,2,Gironi
2010,Ghana,Australia,0.327,0.287,0.386,1,2,Gironi
2010,Netherlands,Japan,0.668,0.21,0.122,0,0,Gironi
2010,Brazil,Ivory Coast,0.692,0.199,0.109,0,0,Gironi
2010,Italy,New Zealand,0.663,0.213,0.125,1,0,Gironi
2010,Slovakia,Paraguay,0.242,0.273,0.485,2,2,Gironi
